time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
25641	-2.257658	0.595155	7.950517	-0.697676	-0.547869	-0.856590	0.587730	-0.022214	-1.073034
25642	-2.213236	0.656877	8.016368	-0.662896	-0.651001	-0.825766	0.587042	-0.023169	-1.074053
25643	-2.168782	0.718586	8.082197	-0.664569	-0.671268	-0.838633	0.586354	-0.024124	-1.075072
25644	-2.089639	0.719603	8.073292	-0.700763	-0.608512	-0.761286	0.585129	-0.024140	-1.074934
25645	-2.045142	0.781295	8.139079	-0.750312	-0.651004	-0.814356	0.584441	-0.025094	-1.075952
25646	-1.966852	0.751126	8.234861	-0.787661	-0.549177	-0.846825	0.583229	-0.024628	-1.077434
25647	-1.887646	0.752147	8.225869	-0.826255	-0.482039	-0.763981	0.582003	-0.024643	-1.077295
25648	-1.843083	0.813807	8.291594	-0.827431	-0.482342	-0.764417	0.581314	-0.025598	-1.078312
25649	-1.763834	0.814825	8.282551	-0.866760	-0.415523	-0.682070	0.580087	-0.025613	-1.078172
25650	-1.639936	0.877483	8.339142	-0.964628	-0.585302	-0.710113	0.578170	-0.026583	-1.079048
25651	-1.561491	0.847308	8.434738	-0.983065	-0.516226	-0.762745	0.576956	-0.026116	-1.080528
25652	-1.482145	0.848328	8.425577	-1.019252	-0.453521	-0.685220	0.575728	-0.026132	-1.080386
25653	-1.402765	0.849348	8.416386	-1.054480	-0.358709	-0.715815	0.574499	-0.026148	-1.080244
25654	-1.278652	0.911970	8.472726	-1.169972	-0.317272	-0.684085	0.572578	-0.027117	-1.081116
25655	-1.199195	0.912986	8.463454	-1.173934	-0.297141	-0.628840	0.571349	-0.027133	-1.080972
25656	-1.119703	0.914001	8.454151	-1.176105	-0.329536	-0.520518	0.570118	-0.027148	-1.080828
25657	-0.994468	1.007771	8.405624	-1.296642	-0.319309	-0.357119	0.568180	-0.028599	-1.080077
25658	-0.881022	0.917044	8.426059	-1.328655	-0.204760	-0.354782	0.566425	-0.027195	-1.080393
25659	-0.767488	0.826354	8.446411	-1.412268	-0.049807	-0.339712	0.564667	-0.025792	-1.080708
25660	-0.642035	0.920081	8.397693	-1.447869	-0.143213	-0.266864	0.562726	-0.027242	-1.079954
25661	-0.528374	0.829417	8.417900	-1.484817	-0.080814	-0.188936	0.560967	-0.025839	-1.080267
25662	-0.368795	0.831457	8.398741	-1.567811	-0.081867	-0.178445	0.558497	-0.025871	-1.079971
25663	-0.254961	0.740849	8.418770	-1.638688	0.075281	-0.131226	0.556736	-0.024469	-1.080280
25664	-0.095162	0.742903	8.399395	-1.710148	0.148987	-0.066703	0.554262	-0.024500	-1.079981
25665	0.052934	0.560794	8.448815	-1.750752	0.327517	-0.113423	0.551970	-0.021682	-1.080745
25666	0.212968	0.562883	8.429188	-1.832174	0.293676	0.005731	0.549494	-0.021714	-1.080442
25667	0.373136	0.564971	8.409441	-1.962290	0.314224	0.007674	0.547015	-0.021747	-1.080136
25668	0.522778	0.414039	8.353858	-1.991143	0.550370	0.131387	0.544699	-0.019411	-1.079276
25669	0.683212	0.416149	8.333877	-2.078406	0.548569	0.143068	0.542216	-0.019443	-1.078967
25670	0.878035	0.326837	8.343134	-2.208410	0.649084	0.122724	0.539201	-0.018061	-1.079110
25671	1.028223	0.176052	8.287116	-2.216226	0.761415	0.172347	0.536877	-0.015728	-1.078243
25672	1.187829	0.147307	8.371269	-2.253958	0.888719	0.035484	0.534407	-0.015283	-1.079545
25673	1.384437	0.089035	8.275482	-2.379370	0.815250	0.188995	0.531364	-0.014381	-1.078063
25674	1.535167	-0.061599	8.219032	-2.376210	0.916317	0.234642	0.529031	-0.012050	-1.077189
25675	1.696425	-0.059403	8.198285	-2.458991	0.982382	0.242733	0.526536	-0.012084	-1.076868
25676	1.892330	-0.148425	8.206497	-2.497678	1.008936	0.218126	0.523504	-0.010706	-1.076995
25677	2.053864	-0.146211	8.185483	-2.552193	0.980562	0.257878	0.521004	-0.010740	-1.076670
25678	2.250113	-0.235151	8.193341	-2.592485	1.081149	0.227774	0.517967	-0.009364	-1.076792
25679	2.367058	-0.294420	8.107257	-2.552766	0.943408	0.376781	0.516157	-0.008446	-1.075459
25680	2.563642	-0.383270	8.114803	-2.590856	1.042828	0.346508	0.513114	-0.007071	-1.075576
25681	2.725710	-0.381010	8.093300	-2.596914	1.044232	0.348975	0.510606	-0.007106	-1.075243
25682	2.924175	-0.439111	7.996146	-2.635446	1.037304	0.426970	0.507535	-0.006207	-1.073740
25683	3.086548	-0.436844	7.974402	-2.647691	0.878735	0.391877	0.505022	-0.006242	-1.073403
25684	3.250706	-0.403947	7.848249	-2.651218	0.846838	0.501464	0.502481	-0.006751	-1.071451
25685	3.368492	-0.463185	7.761709	-2.586673	0.706541	0.580727	0.500658	-0.005835	-1.070112
25686	3.567833	-0.521289	7.664084	-2.630818	0.739056	0.781711	0.497573	-0.004935	-1.068601
25687	3.777071	-0.426926	7.602244	-2.645086	0.570352	0.744138	0.494328	-0.006395	-1.067644
25688	3.772657	-0.489332	7.608519	-2.673394	0.623888	0.688172	0.491265	-0.005023	-1.067741
25689	3.716079	-0.430835	7.481940	-2.699297	0.467629	0.791102	0.488708	-0.005530	-1.065782
25690	3.663442	-0.457358	7.383761	-2.705245	0.433657	0.908968	0.485609	-0.004631	-1.064262
